商品編號,商品名稱,商品價格,已售出數量,商品上架時間,商家名稱,商家帳號,商家位置,商品連結,商家連結
101205334245,【金豆豆賣場】三多 葉黃素游離型Plus HA軟膠囊 50粒,640.0,0,12/10/2021,Y5000570798,Y5000570798,香港,https://tw.bid.yahoo.com/item/101205334245,https://tw.bid.yahoo.com/tw/user/Y5000570798
101205361946,《蕉友商貿》買2送1買3送2 SENTOSA三多金盞花葉黃素Plus蝦紅素（50粒）2件免運,310.0,3,12/10/2021,《蕉友商貿》,Y8675385787,台北市,https://tw.bid.yahoo.com/item/101205361946,https://tw.bid.yahoo.com/tw/user/Y8675385787
101205363098,《蕉友商貿》SENTOSA 三多 素食金盞花葉黃素 (50粒/盒) 素食 純素 植物性 金盞花 葉黃素,275.0,0,12/10/2021,《蕉友商貿》,Y8675385787,台北市,https://tw.bid.yahoo.com/item/101205363098,https://tw.bid.yahoo.com/tw/user/Y8675385787
100954347234,{健康達人~週年慶}三多 葉黃素 複方軟膠囊100粒 ~24件組!!!,13800.0,1,09/26/2020,健康達人,Y5954314340,新北市,https://tw.bid.yahoo.com/item/100954347234,https://tw.bid.yahoo.com/tw/user/Y5954314340
100968202751,三多金盞花萃取葉黃素複方軟膠囊100顆,620.0,0,10/26/2020,你的營養銀行 保健/婦嬰用品,Y7155575972,台北市,https://tw.bid.yahoo.com/item/100968202751,https://tw.bid.yahoo.com/tw/user/Y7155575972
101187183210,【健康之家】買2送1 買5送3 三多金盞花萃取物葉黃素 三多金盞花萃取物-isp,260.0,4,11/10/2021,Y3750851222,Y3750851222,台北市,https://tw.bid.yahoo.com/item/101187183210,https://tw.bid.yahoo.com/tw/user/Y3750851222
100603414618,三多金盞花萃取物含葉黃素複方軟膠囊 一盒100粒,670.0,0,05/05/2019,Y8290208096,Y8290208096,新北市,https://tw.bid.yahoo.com/item/100603414618,https://tw.bid.yahoo.com/tw/user/Y8290208096
100320882624,【元氣一番.com】最新版《三多葉黃素複方軟膠囊100粒》◎含天然酯化型葉黃素30mg ◎,680.0,84,04/11/2018,元氣一番.com,Y2772131809,台中市,https://tw.bid.yahoo.com/item/100320882624,https://tw.bid.yahoo.com/tw/user/Y2772131809
100834912442,(原廠公司貨)三多 金盞花萃取物(含葉黃素)複方軟膠囊 50粒/盒,388.0,0,04/30/2020,YAHOO!奇摩拍賣王,Y8863595268,台北市,https://tw.bid.yahoo.com/item/100834912442,https://tw.bid.yahoo.com/tw/user/Y8863595268
100658852457,三多金盞花葉黃素Plus蝦紅素軟膠囊 50粒/盒,585.0,2,07/05/2019,皮蛋還沒吃,Y5639627732,台南市,https://tw.bid.yahoo.com/item/100658852457,https://tw.bid.yahoo.com/tw/user/Y5639627732
101187508560,現貨 三多 金盞花 葉黃素 Plus 蝦紅素 軟膠囊   50粒/盒  兩件免運,580.0,2,11/11/2021,【小慧小舖】商品滿999免運,Y1661619780,台北市,https://tw.bid.yahoo.com/item/101187508560,https://tw.bid.yahoo.com/tw/user/Y1661619780
100623447097,三多 金盞花葉黃素Plus蝦紅素軟膠囊(50粒/盒) 買六盒以上，免運費,588.0,124,05/26/2019,保健小天使,Y7373805775,其他國家,https://tw.bid.yahoo.com/item/100623447097,https://tw.bid.yahoo.com/tw/user/Y7373805775
101142647770,【誠意樂活】三多金盞花萃取物(含葉黃素)複方軟膠囊 (100粒/盒),1055.0,7,08/23/2021,誠意中西藥局連鎖事業,Y8355059535,台北市,https://tw.bid.yahoo.com/item/101142647770,https://tw.bid.yahoo.com/tw/user/Y8355059535
100634547788,三多 SENTOSA 葉黃素 金盞花萃取物 100粒X2盒 (最新效期2024年 實體店面公司貨) 【2010978】,2000.0,6,11/16/2020,【專品藥局】P&Q實體店面,Y3882855988,台北市,https://tw.bid.yahoo.com/item/100634547788,https://tw.bid.yahoo.com/tw/user/Y3882855988
100172462579,三多 SENTOSA 葉黃素 金盞花萃取物 100粒/盒 (最新效期2024年 實體店面公司貨) 【2008029】,1000.0,61,11/16/2020,【專品藥局】P&Q實體店面,Y3882855988,台北市,https://tw.bid.yahoo.com/item/100172462579,https://tw.bid.yahoo.com/tw/user/Y3882855988
100430992776,【亮亮生活】ღ 三多 素食金盞花葉黃素植物性膠囊50粒 2盒/組 ღ 一天1粒，素食可食,1110.0,1,04/11/2018,【亮亮生活】,Y5968953766,台南市,https://tw.bid.yahoo.com/item/100430992776,https://tw.bid.yahoo.com/tw/user/Y5968953766
100430991662,【亮亮生活】ღ 三多 素食金盞花葉黃素植物性膠囊50粒 6盒/組 ღ 一天1粒，素食可食,3330.0,0,04/11/2018,【亮亮生活】,Y5968953766,台南市,https://tw.bid.yahoo.com/item/100430991662,https://tw.bid.yahoo.com/tw/user/Y5968953766
100550710812,三多 素食金盞花葉黃素膠囊 50粒/盒,349.0,0,01/16/2019,皮蛋還沒吃,Y5639627732,台南市,https://tw.bid.yahoo.com/item/100550710812,https://tw.bid.yahoo.com/tw/user/Y5639627732
100552664430,三多 素食金盞花葉黃素膠囊 50粒,350.0,35,01/26/2019,橘子藥妝百貨,Y2011860710,台北市,https://tw.bid.yahoo.com/item/100552664430,https://tw.bid.yahoo.com/tw/user/Y2011860710
100228064158,三多 金盞花萃取物(含葉黃素) 100粒/盒~ 9盒7391元 三多葉黃素，獨立包裝，勿直接下標~請先問與答,7391.0,183,04/11/2018,三多條碼一點6元(關於我說明),Y5037232717,台北市,https://tw.bid.yahoo.com/item/100228064158,https://tw.bid.yahoo.com/tw/user/Y5037232717
100081150036,三多 金盞花萃取物(含葉黃素) 100粒/盒~單盒699元 三多葉黃素，獨立包裝，勿直接下標~請先問與答,699.0,228,04/11/2018,勿直接下標~先問&答,Y2796005799,台北市,https://tw.bid.yahoo.com/item/100081150036,https://tw.bid.yahoo.com/tw/user/Y2796005799
100402692983,三多 金盞花萃取物(含葉黃素) 100粒/盒~單盒699 元 三多葉黃素，獨立包裝，勿直接下標~請先問與答,699.0,5,04/11/2018,勿直接下標~先問&答,Y2796005799,台北市,https://tw.bid.yahoo.com/item/100402692983,https://tw.bid.yahoo.com/tw/user/Y2796005799
100386805903,三多 金盞花萃取物(含葉黃素) 100粒/盒~單盒699元 三多葉黃素，獨立包裝~請先問與答,699.0,25,04/11/2018,勿直接下標~先問&答,Y2796005799,台北市,https://tw.bid.yahoo.com/item/100386805903,https://tw.bid.yahoo.com/tw/user/Y2796005799
101187761356,【小陳鋪子】現貨 兩件免運 三多金盞花萃取物葉黃素 葉黃素 複方軟膠囊 100入,550.0,0,11/11/2021,【小陳鋪子】全場滿999免運噢,Y1327586238,花蓮縣,https://tw.bid.yahoo.com/item/101187761356,https://tw.bid.yahoo.com/tw/user/Y1327586238
100031044381,【SEVEN SHOP】【三多 蠔蜆鋅錠 (60錠/瓶 )】含枸杞萃取物、葉黃素、Beta-胡蘿蔔素~3盒免運,450.0,7,04/02/2018,【SEVEN SHOP】,Y5778406374,新北市,https://tw.bid.yahoo.com/item/100031044381,https://tw.bid.yahoo.com/tw/user/Y5778406374
100399267826,【喜樂之地】三多 素食金盞花葉黃素 膠囊 50粒,424.0,2,04/02/2018,喜樂之地,Y0278597353,其他國家,https://tw.bid.yahoo.com/item/100399267826,https://tw.bid.yahoo.com/tw/user/Y0278597353
100670708627,三多 金盞花葉黃素Plus 蝦紅素軟膠囊 50粒/盒-清新明亮，舒適滋潤，現代人必備 (公司貨附發票),750.0,8,09/28/2020,誠意中西藥局連鎖事業,Y8355059535,台北市,https://tw.bid.yahoo.com/item/100670708627,https://tw.bid.yahoo.com/tw/user/Y8355059535
101130727668,[全新現貨]公司貨非水貨！SENTOSA 三多 葉黃素凍 15g*12入/盒,349.0,0,08/04/2021,歐頤康藥妝,Y7220777660,台北市,https://tw.bid.yahoo.com/item/101130727668,https://tw.bid.yahoo.com/tw/user/Y7220777660
100604635737,三多 SENTOSA 金盞花葉黃素Plus 蝦紅素軟膠囊 50粒/盒 專品藥局【2012853】,1055.0,4,05/07/2019,【專品藥局】P&Q實體店面,Y3882855988,台北市,https://tw.bid.yahoo.com/item/100604635737,https://tw.bid.yahoo.com/tw/user/Y3882855988
100879991386,三多 金盞花萃取物葉黃素複方軟膠囊 100粒/盒,900.0,4,07/10/2020,雙寶居家保健生活館,Y5902125759,新北市,https://tw.bid.yahoo.com/item/100879991386,https://tw.bid.yahoo.com/tw/user/Y5902125759
100589432618,【seven健康小舖】【三多 素食金盞花葉黃素植物性膠囊(50粒/盒)】PPT隨身片,385.0,1,04/17/2019,【seven健康小舖】,Y0185020038,新北市,https://tw.bid.yahoo.com/item/100589432618,https://tw.bid.yahoo.com/tw/user/Y0185020038
100589446151,【seven健康小舖】【三多 金盞花葉黃素Plus蝦紅素軟膠囊(50粒/盒)】PPT隨身片,599.0,6,04/17/2019,【seven健康小舖】,Y0185020038,新北市,https://tw.bid.yahoo.com/item/100589446151,https://tw.bid.yahoo.com/tw/user/Y0185020038
100470082694,{健康達人~週年慶}三多 葉黃素 複方軟膠囊100粒 ~~~2件組!!!,1160.0,18,06/11/2020,健康達人,Y5954314340,新北市,https://tw.bid.yahoo.com/item/100470082694,https://tw.bid.yahoo.com/tw/user/Y5954314340
101002298991,三多 綜合維他命 300顆 金盞花萃取葉黃素添加 礦物質 去印花點數出貨,390.0,21,01/07/2021,正版公司貨保健食品挑戰最低價,Y8662964719,台北市,https://tw.bid.yahoo.com/item/101002298991,https://tw.bid.yahoo.com/tw/user/Y8662964719
100563656325,三多 金盞花葉黃素Plus蝦紅素軟膠囊50粒,629.0,88,03/09/2019,橘子藥妝百貨,Y2011860710,台北市,https://tw.bid.yahoo.com/item/100563656325,https://tw.bid.yahoo.com/tw/user/Y2011860710
101171926177,三多 金盞花萃取物(含葉黃素)複方軟膠囊 (50粒/盒) x1,475.0,0,10/14/2021,德安蔘藥行,Y6835529170,台北市,https://tw.bid.yahoo.com/item/101171926177,https://tw.bid.yahoo.com/tw/user/Y6835529170
101171934758,三多 金盞花萃取物(含葉黃素)複方軟膠囊 (100粒/盒) x1,855.0,0,10/14/2021,德安蔘藥行,Y6835529170,台北市,https://tw.bid.yahoo.com/item/101171934758,https://tw.bid.yahoo.com/tw/user/Y6835529170
101171940670,三多 素食金盞花葉黃素植物性膠囊(50粒/盒)x1,475.0,0,10/14/2021,德安蔘藥行,Y6835529170,台北市,https://tw.bid.yahoo.com/item/101171940670,https://tw.bid.yahoo.com/tw/user/Y6835529170
100024857832,【元氣一番.com】三多葉黃素凍 Lutein jelly 12入  純素,350.0,41,07/16/2021,元氣一番.com,Y2772131809,台中市,https://tw.bid.yahoo.com/item/100024857832,https://tw.bid.yahoo.com/tw/user/Y2772131809
101200742971,【水蜜桃賣場】買2送1買3送2 SENTOSA三多金盞花葉黃素Plus蝦紅素（50粒）2件免運,325.0,3,12/03/2021,Y7752857267,Y7752857267,香港,https://tw.bid.yahoo.com/item/101200742971,https://tw.bid.yahoo.com/tw/user/Y7752857267
101200744184,【水蜜桃賣場】三多金盞花萃取物葉黃素 三多 金盞花萃取物 葉黃素 複方軟膠囊 100粒,520.0,1,12/03/2021,Y7752857267,Y7752857267,香港,https://tw.bid.yahoo.com/item/101200744184,https://tw.bid.yahoo.com/tw/user/Y7752857267
101200744683,【黑豆豆國際商貿】SENTOSA 三多 素食金盞花葉黃素 (50粒/盒) 素食 純素 植物性 金盞花 葉黃素,275.0,0,12/03/2021,Y9106710027,Y9106710027,香港,https://tw.bid.yahoo.com/item/101200744683,https://tw.bid.yahoo.com/tw/user/Y9106710027
100026448439,【seven健康小舖】【三多金盞花萃取物(含葉黃素)複方軟膠囊(100粒/罐)】含葉黃素酯30mg、深海魚油DHA、,599.0,699,09/10/2018,【seven健康小舖】,Y0185020038,新北市,https://tw.bid.yahoo.com/item/100026448439,https://tw.bid.yahoo.com/tw/user/Y0185020038
101162029351,三多葉黃素凍 台灣公司貨-HAPPY GOD保健美食生活館,351.0,0,09/24/2021,HAPPY GOD保健美食生活,Y9313381031,台中市,https://tw.bid.yahoo.com/item/101162029351,https://tw.bid.yahoo.com/tw/user/Y9313381031
101162038039,SENTOSA三多 金盞花葉黃素複方軟膠囊( 100粒/瓶 ) 台灣公司貨 -HAPPY GOD保健美食生活館,688.0,2,09/24/2021,HAPPY GOD保健美食生活,Y9313381031,台中市,https://tw.bid.yahoo.com/item/101162038039,https://tw.bid.yahoo.com/tw/user/Y9313381031
101162039876,SENTOSA三多 金盞花葉黃素複方軟膠囊（50粒/瓶）台灣公司貨 -HAPPY GOD保健美食生活館,370.0,0,09/24/2021,HAPPY GOD保健美食生活,Y9313381031,台中市,https://tw.bid.yahoo.com/item/101162039876,https://tw.bid.yahoo.com/tw/user/Y9313381031
101162042279,三多素食金盞花葉黃素植物性膠囊 50粒/1盒 台灣公司貨-HAPPY GOD保健美食生活館,330.0,0,09/24/2021,HAPPY GOD保健美食生活,Y9313381031,台中市,https://tw.bid.yahoo.com/item/101162042279,https://tw.bid.yahoo.com/tw/user/Y9313381031
100813270488,SENTOSA 三多 金盞花 葉黃素 Plus 蝦紅素 軟膠囊 (50粒/盒)【hellovip】,650.0,14,03/23/2020,Hello VIP,Y1909867525,台南市,https://tw.bid.yahoo.com/item/100813270488,https://tw.bid.yahoo.com/tw/user/Y1909867525
